N_SAMPLES,N_NEURONS,Strategy,Accuracy_A,Accuracy_A_std,Accuracy_NOTB,Accuracy_NOTB_std,Accuracy_GEN,Accuracy_GEN_std,Harmonic_Mean,Harmonic_Mean_std
1000,20000,C-FT NOT-B (spec),0.18804002391023772,0.03301816999346163,0.9952,0.002039607805437116,0.25660000000000005,0.02477579463912308,0.2922788294330807,0.035343594488498005
1000,20000,C-FT NOT-B (free_A),0.0774371394317542,0.021117579372191615,0.9957999999999998,0.0019390719429665333,0.22359999999999997,0.017670314088889305,0.16025643423018923,0.027408042746075313
1000,20000,C-FT NOT-B (free_B),0.07842110022230168,0.010370448514111286,0.9955999999999999,0.002059126028197402,0.24699999999999997,0.013740451229854142,0.16757969643941045,0.015078553446227353
1000,20000,C-FT NOT-B (busy_A),0.18495915697019435,0.009680232978549658,0.992,0.005176871642217918,0.3274,0.013350655414622903,0.3165818353512232,0.0115792705326493
1000,20000,C-FT NOT-B (busy_B),0.17248178708548162,0.017814186546069997,0.9958,0.0013266499161421613,0.3686,0.0432924935756766,0.31448794017552195,0.027920898640625698
1000,20000,C-FT NOT-B (rnd),0.23530110926885847,0.02869376832406041,0.9952,0.002638181191654586,0.2996,0.052633069452578944,0.3471547999955582,0.04127897496676562
10,8000,FT NOT-B,0.10745580872622747,0.0816319287060229,1.0,0.0,0.5760000000000001,0.1168931135696197,0.22223346307620484,0.1159080947361703
10,8000,C-FT NOT-B (spec),0.6378999822357365,0.1381383542815217,0.9640000000000001,0.03878143885933065,0.5120000000000001,0.23785709995709609,0.599773951127134,0.18284259143196838
10,8000,C-FT NOT-B (free_A),0.9094466893977724,0.03901433670454581,0.02,0.04,0.0,0.0,,
10,8000,C-FT NOT-B (free_B),0.936400808052292,0.029303340317443027,0.0,0.0,0.0,0.0,,
10,8000,C-FT NOT-B (busy_A),0.6224368999398823,0.10998919214518069,0.9719999999999999,0.029933259094191565,0.5439999999999999,0.168949696655543,0.643081144409883,0.1031244744594809
10,8000,C-FT NOT-B (busy_B),0.5960236329972115,0.10590294544569823,0.9879999999999999,0.023999999999999976,0.6439999999999999,0.12799999999999997,0.6901610931663054,0.05832258276155833
10,8000,C-FT NOT-B (rnd),0.8273120567542793,0.08333231773063493,0.38,0.13206059215375343,0.092,0.09431860898041275,0.276564083044743,0.09772907923449092
100,8000,FT NOT-B,0.2384239773995746,0.018566527553760336,0.9975999999999999,0.0029393876913398165,0.43439999999999995,0.08867378417548223,0.3977802042681736,0.04110778611153478
100,8000,C-FT NOT-B (spec),0.5307032392086206,0.030442535990454975,0.7604,0.06338958905056888,0.26280000000000003,0.02661127580556785,0.4262335820604447,0.023539520755430216
100,8000,C-FT NOT-B (free_A),0.43267470579536854,0.02888943719471219,0.058800000000000005,0.014062716664997551,0.028000000000000004,0.017389652095427324,0.05210831775335295,0.02525525763005223
100,8000,C-FT NOT-B (free_B),0.5534850958538788,0.0558489500299571,0.0332,0.01085172797300043,0.016,0.01035374328443583,0.028232708226873033,0.011567076644441078
100,8000,C-FT NOT-B (busy_A),0.5299282713299174,0.053737346645201266,0.9359999999999999,0.04848092408360222,0.39759999999999995,0.06360377347296307,0.5466668583467772,0.06268266174858549
100,8000,C-FT NOT-B (busy_B),0.5415733965307491,0.034524674096039105,0.9688000000000001,0.032609201155502136,0.46159999999999995,0.08138206190555758,0.5909093484936743,0.05396867115570356
100,8000,C-FT NOT-B (rnd),0.5083214963450308,0.01923133751278739,0.19319999999999998,0.0384832431065782,0.06520000000000001,0.025126878039263056,0.13056120684117137,0.038985803874835544
1000,8000,FT NOT-B,0.1818074524527789,0.006975167010274135,0.9914,0.008867919710958154,0.44220000000000004,0.053435568678549684,0.3411416338903994,0.01629405844348929
1000,8000,C-FT NOT-B (spec),0.24028114816346308,0.0166764622638204,0.9934,0.0025768197453450276,0.2868,0.03877834447214064,0.3452737334647566,0.02787446342058581
1000,8000,C-FT NOT-B (free_A),0.21831912941105297,0.02395454330862711,0.2834,0.026112066176386728,0.07,0.009899494936611665,0.1329456427834917,0.013292601887805093
1000,8000,C-FT NOT-B (free_B),0.26622943796393533,0.03420752073616578,0.2474,0.02833090185645349,0.0602,0.010759182125050212,0.1219892802950383,0.017442624382772085
1000,8000,C-FT NOT-B (busy_A),0.2003041085179766,0.0074291136679364034,0.9954000000000001,0.001356465996625055,0.31679999999999997,0.024268498099388025,0.32693905173741566,0.005775595349160216
1000,8000,C-FT NOT-B (busy_B),0.1987752284814006,0.013612203946649457,0.9958,0.0016000000000000014,0.3802,0.04139758447059441,0.34455611721335916,0.01445933336916251
1000,8000,C-FT NOT-B (rnd),0.1588584181659622,0.0318320958821047,0.784,0.09124034195464195,0.1024,0.014192955999368137,0.16884444108381605,0.010202421722045983
10,6000,FT NOT-B,0.10745580872622747,0.0816319287060229,1.0,0.0,0.5760000000000001,0.1168931135696197,0.22223346307620484,0.1159080947361703
10,6000,C-FT NOT-B (spec),0.6631073565833574,0.11727617464301054,0.8000000000000002,0.1109954954040929,0.43600000000000005,0.2041176131547692,0.5452130562424916,0.16356697149784047
10,6000,C-FT NOT-B (free_A),0.941033774480857,0.031062660026837507,0.004,0.008,0.0,0.0,,
10,6000,C-FT NOT-B (free_B),0.9631624330321582,0.01776975765573251,0.0,0.0,0.0,0.0,,
10,6000,C-FT NOT-B (busy_A),0.6413242597630192,0.08286344184937419,0.868,0.05741080037762926,0.404,0.15969971822141701,0.5482627800009046,0.11140644907617585
10,6000,C-FT NOT-B (busy_B),0.6041720703801188,0.11461058790704283,0.9560000000000001,0.04270831300812522,0.5519999999999999,0.13422369388450012,0.6420790622570215,0.056842632964831545
10,6000,C-FT NOT-B (rnd),0.8981497155778845,0.05883756705412725,0.12,0.12585706178041817,0.0,0.0,,
100,6000,FT NOT-B,0.2384239773995746,0.018566527553760336,0.9975999999999999,0.0029393876913398165,0.43439999999999995,0.08867378417548223,0.3977802042681736,0.04110778611153478
